中文普通名索引
中文普通名                                                                           英文普通名                     作用機制分類
chlorfluazuron                                                                  克福隆       [IRAC] 15
chloroneb                                                                       二氯甲氧苯     [FRAC] 14, F3
chloropicrin                                                                    氯化苦       [IRAC] 8B
chlorothalonil                                                                  四氯異苯腈     [FRAC] M5
chlorpyrifos                                                                    陶斯松         [IRAC] 1B
chlorthal-dimethyl                                                              大克草         [HRAC] K1
chlozolinate                                                                    克氯得         [FRAC] 2, E3
chromafenozide                                                                  可芬諾         [IRAC] 18
cinosulfuron                                                                    西速隆         [HRAC] B
clethodim                                                                       剋草同         [HRAC] A
clofentezine                                                                    克芬蟎         [IRAC] 10A
clomazone                                                                       可滅蹤         [HRAC] F3
clomeprop                                                                       丁拉克普草成分之一   [HRAC] O
clopyralid                                                                      畢克草         [HRAC] O
clothianidin                                                                    可尼丁         [IRAC] 4A
copper hydroxide                                                                氫氧化銅        [FRAC] M1
copper oxychloride                                                              鹼性氯氧化銅      [FRAC] M1
copper sulfate                                                                  硫酸銅         [FRAC] M1
cuprous oxide                                                                   氧化亞銅        [FRAC] M1
cyanazine                                                                       氰乃淨         [HRAC] C1
cyanophos                                                                       氰乃松         [IRAC] 1B
cyazofamid                                                                      賽座滅         [FRAC] 21, C4
cyclosulfamuron                                                                 環磺隆         [HRAC] B
cycloxydim                                                                      環殺草         [HRAC] A
cyenopyrafen                                                                    登記中         [IRAC] 25
cyflufenamid                                                                    賽芬胺         [FRAC] U6, un11
cyflumetofen                                                                    賽芬蟎         [IRAC] 25
cyfluthrin                                                                      賽扶寧         [IRAC] 3A
cyfluthrin, beta-                                                               貝他賽扶寧       [IRAC] 3A
cyhalofop-P-butyl                                                               丁基賽伏草       [HRAC] A
cyhalothrin, gamma-                                                             伽瑪賽洛寧       [IRAC] 3A
cyhalothrin, lambda-                                                            賽洛寧         [IRAC] 3A
cyhexatin                                                                       錫蟎丹         [IRAC] 12B
cymoxanil                                                                       克絕          [FRAC] 27, un01
cypermethrin                                                                    賽滅寧         [IRAC] 3A
cypermethrin, alpha-                                                            亞滅寧         [IRAC] 3A
cypermethrin, zeta-                                                             傑他賽滅寧       [IRAC] 3A
cyproconazole                                                                   環克座         [FRAC] 3, G1
cyprodinil                                                                      賽普洛         [FRAC] 9, D1
cyromazine                                                                      賽滅淨         [IRAC] 17
D, 2,4-                                                                         二四地         [HRAC] O
daimuron                                                                        汰草龍         [HRAC] Z
dalapon-sodium                                                                  得拉本         [HRAC] N
dazomet                                                                         邁隆        [HRAC] Z
DDT                                                                             滴滴涕       [IRAC] 3B
deltamethrin                                                                    第滅寧       [IRAC] 3A
demeton-S-methyl                                                                滅賜松       [IRAC] 1B
diafenthiuron                                                                   汰芬隆       [IRAC] 12A
diazinon                                                                        大利松       [IRAC] 1B
dicamba                                                                         汰克草       [HRAC] O
dichlobenil                                                                     二氯苯腈      [HRAC] L
dichlofluanid                                                                   益發靈       [FRAC] M6
dichlorvos                                                                      二氯松       [IRAC] 1B
diclomezine                                                                     達滅淨       [FRAC] 37, un06
dicloran                                                                        大克爛       [FRAC] 14, F3
dicofol                                                                         大克蟎       [IRAC] un
dicrotophos                                                                     雙特松       [IRAC] 1B
difenoconazole                                                                  待克利       [FRAC] 3, G1
diflubenzuron                                                                   二福隆       [IRAC] 15
diflumetorim                                                                    二氟林       [FRAC] 39, C1
dimethametryn                                                                   愛落殺成分之一   [HRAC] C1
dimethenamid                                                                    汰草滅       [HRAC] K3
dimethoate                                                                      大滅松       [IRAC] 1B
dimethomorph                                                                    達滅芬       [FRAC] 40, H5
diniconazole-M                                                                  達克利       [FRAC] 3, G1
dinitramine                                                                     撻乃安       [HRAC] K1
dinocap                                                                         白粉克       [FRAC] 29, C5
dinoseb                                                                         達諾殺       [HRAC] M
dinotefuran                                                                     達特南       [IRAC] 4A
diphenamid                                                                      大芬滅       [HRAC] K3
disulfoton                                                                      二硫松       [IRAC] 1B
dithianon                                                                       腈硫醌       [FRAC] M9
dithiopyr                                                                       汰硫草       [HRAC] K1
diuron                                                                          達有龍       [HRAC] C2
dodine                                                                          多寧        [FRAC] U12
edifenphos                                                                      護粒松       [FRAC] 6, F2
emamectin benzoate                                                              因滅汀       [IRAC] 6
endosulfan                                                                      安殺番       [IRAC] 2A
EPN                                                                             一品松       [IRAC] 1B
epoxiconazole                                                                   依普座       [FRAC] 3, G1
esfenvalerate                                                                   益化利       [IRAC] 3A
ethion                                                                          愛殺松       [IRAC] 1B
ethiprole                                                                       益斯普     [IRAC] 2B
ethirimol                                                                       依瑞莫     [FRAC] 8, A2
ethofumesate                                                                    益覆滅     [HRAC] N
ethoprophos                                                                     普伏松     [IRAC] 1B
ethoxysulfuron                                                                  亞速隆     [HRAC] B
etofenprox                                                                      依芬寧     [IRAC] 3A
etoxazole                                                                       依殺蟎     [IRAC] 10B
etridiazole                                                                     依得利     [FRAC] 14, F3
famoxadone                                                                      凡殺同     [FRAC] 11, C3
fenamiphos                                                                      芬滅松     [IRAC] 1B
fenarimol                                                                       芬瑞莫     [FRAC] 3, G1
fenazaquin                                                                      芬殺蟎     [IRAC] 21A
fenbuconazole                                                                   芬克座     [FRAC] 3, G1
fenbutatin oxide                                                                芬佈賜     [IRAC] 12B
fenitrothion                                                                    撲滅松     [IRAC] 1B
fenobucarb                                                                      丁基滅必蝨   [IRAC] 1A
fenoxanil                                                                       芬諾尼     [FRAC] 16.2, I2
fenoxaprop-P-ethyl                                                              芬殺草     [HRAC] A
fenoxycarb                                                                      芬諾克     [IRAC] 7B
fenpropathrin                                                                   芬普寧     [IRAC] 3A
fenpropimorph                                                                   芬普福     [FRAC] 5, G2
fenpyroximate                                                                   芬普蟎     [IRAC] 21A
fenthion                                                                        芬殺松     [IRAC] 1B
fentin acetate                                                                  三苯醋錫    [FRAC] 30, C6
fentin hydroxide                                                                三苯羥錫    [FRAC] 30, C6
fenvalerate                                                                     芬化利     [IRAC] 3A
ferbam                                                                          富爾邦     [FRAC] M3
ferimzone                                                                       富米綜     [FRAC] 29, C5
fipronil                                                                        芬普尼     [IRAC] 2B
flazasulfuron                                                                   伏速隆     [HRAC] B
flonicamid                                                                      氟尼胺     [IRAC] 9C
fluazifop-P-butyl                                                               伏寄普     [HRAC] A
fluazinam                                                                       扶吉胺     [FRAC] 29, C5
flubendiamide                                                                   氟大滅     [IRAC] 28
flucythrinate                                                                   護賽寧     [IRAC] 3A
fludioxonil                                                                     護汰寧     [FRAC] 12, E2
flufenoxuron                                                                    氟芬隆     [IRAC] 15
fluometuron                                                                     可奪草     [HRAC] C2
fluopicolide                                                                    氟比來     [FRAC] 43, B5
fluothiuron                                                                     殺克丹成分之一      [HRAC] C2
flupropanate-sodium                                                             氟丙酸          [HRAC] N
fluroxypyr-meptyl                                                               氟氯比          [HRAC] O
flusilazole                                                                     護矽得          [FRAC] 3, G1
flusulfamide                                                                    氟硫滅          [FRAC] 36, un05
flutolanil                                                                      福多寧          [FRAC] 7, C2
flutriafol                                                                      護汰芬          [FRAC] 3, G1
tau-fluvalinate                                                                 福化利          [IRAC] 3A
fluxapyroxad                                                                    登記中          [FRAC] 7, C2
folpet                                                                          福爾培          [FRAC] M4
formetanate                                                                     覆滅蟎          [IRAC] 1A
formothion                                                                      福木松          [IRAC] 1B
fosetyl-aluminium                                                               福賽得          [FRAC] 33, un02
fosthiazate                                                                     福賽絕          [IRAC] 1B
furametpyr                                                                      福拉比          [FRAC] 7, C2
glufosinate-ammonium                                                            固殺草          [HRAC] H
glyphosate                                                                      嘉磷塞          [HRAC] G
glyphosate-ammonium                                                             嘉磷塞胺鹽        [HRAC] G
glyphosate-isopropylammonium                                                    嘉磷塞異丙胺鹽      [HRAC] G
glyphosate-trimesium                                                            嘉磷塞三甲基硫鹽     [HRAC] G
halfenprox                                                                      合芬寧          [IRAC] 3A
halosulfuron-methyl                                                             合速隆          [HRAC] B
haloxyfop-P-methyl                                                              甲基合氯氟        [HRAC] A
heptenophos                                                                     飛達松          [IRAC] 1B
hexaconazole                                                                    菲克利          [FRAC] 3, G1
hexaflumuron                                                                    六伏隆          [IRAC] 15
hexazinone                                                                      菲殺淨          [HRAC] C1
hexythiazox                                                                     合賽多          [IRAC] 10A
hymexazol                                                                       殺紋寧          [FRAC] 32, A3
imazalil                                                                        依滅列          [FRAC] 3, G1
imazapyr                                                                        依滅草          [HRAC] B
imazosulfuron                                                                   依速隆          [HRAC] B
imibenconazole                                                                  易胺座          [FRAC] 3, G1
imidacloprid                                                                    益達胺          [IRAC] 4A
iminoctadine triacetate                                                         克熱淨          [FRAC] M7
iminoctadine tris(albesilate)                                                   克熱淨(烷苯磺酸鹽)   [FRAC] M7
indoxacarb                                                                      因得克          [IRAC] 22A
iprobenfos                                                                      丙基喜樂松        [FRAC] 6, F2
iprodione                                                                       依普同          [FRAC] 2, E3
isofenphos                                                                      亞芬松       [IRAC] 1B
isoprocarb                                                                      滅必蝨       [IRAC] 1A
isoprothiolane                                                                  亞賜圃       [FRAC] 6, F2
isothioate                                                                      獲賜松       [IRAC] 1B
isotianil                                                                       亞汰尼       [FRAC] P, P3
isouron                                                                         愛速隆       [HRAC] C2
isoxathion                                                                      加福松       [IRAC] 1B
kasugamycin hydrate hydrochloride                                               嘉賜黴素      [FRAC] 24, D3
kresoxim-methyl                                                                 克收欣       [FRAC] 11, C3
linuron                                                                         理有龍       [HRAC] C2
lufenuron                                                                       祿芬隆       [IRAC] 15
MAC, calcium methylarsonate                                                     甲基砷酸鈣     [HRAC] Z
magnesium phosphide                                                             磷化鎂       [IRAC] 24A
malathion                                                                       馬拉松       [IRAC] 1B
mancozeb                                                                        鋅錳乃浦      [FRAC] M3
mandipropamid                                                                   曼普胺       [FRAC] 40, H5
maneb                                                                           錳乃浦       [FRAC] M3
MCPA                                                                            滅草成分之一    [HRAC] O
MCPA-thioethyl                                                                  脫禾草       [HRAC] O
MCPB                                                                            益必田成分之一   [HRAC] O
MCPB-ethyl                                                                      加撲草       [HRAC] O
mecarbam                                                                        滅加松       [IRAC] 1B
mefenacet                                                                       滅芬草       [HRAC] K3
mepanipyrim                                                                     滅派林       [FRAC] 9, D1
mepronil                                                                        滅普寧       [FRAC] 7, C2
metaflumizone                                                                   美氟綜       [IRAC] 22B
metalaxyl                                                                       滅達樂       [FRAC] 4, A1
metalaxyl-M                                                                     右滅達樂      [FRAC] 4, A1
metam-sodium                                                                    斯美地       [HRAC] Z
metazachlor                                                                     滅草胺       [HRAC] K3
metconazole                                                                     滅特座       [FRAC] 3, G1
methamidophos                                                                   達馬松       [IRAC] 1B
methasulfocarb                                                                  滅速克       [FRAC] 42, un07
methidathion                                                                    滅大松       [IRAC] 1B
methiocarb                                                                      滅賜克       [IRAC] 1A
methomyl                                                                        納乃得       [IRAC] 1A
methoprene                                                                      美賜平       [IRAC] 7A
methoxyfenozide                                                                 滅芬諾       [IRAC] 18
methyl bromide                                                                  溴化甲烷      [IRAC] 8A
metiram complex                                                                 免得爛     [FRAC] M3
metobromuron                                                                    撲奪草     [HRAC] C2
metolachlor                                                                     莫多草     [HRAC] K3
metolachlor, S-                                                                 左旋莫多草   [HRAC] K3
metolcarb                                                                       治滅蝨     [IRAC] 1A
metrafenone                                                                     滅芬農     [FRAC] U8, un13
metribuzin                                                                      滅必淨     [HRAC] C1
mevinphos                                                                       美文松     [IRAC] 1B
milbemectin                                                                     密滅汀     [IRAC] 6
molinate                                                                        稻得壯     [HRAC] N
monocrotophos                                                                   亞素靈     [IRAC] 1B
MSMA, monosodium methylarsonate                                                 甲基砷酸鈉   [HRAC] Z
myclobutanil                                                                    邁克尼     [FRAC] 3, G1
naled                                                                           乃力松     [IRAC] 1B
naproanilide                                                                    萘普草     [HRAC] K3
napropamide                                                                     滅落脫     [HRAC] K3
naptalam                                                                        鈉得爛     [HRAC] P
novaluron                                                                       諾伐隆     [IRAC] 15
nuarimol                                                                        尼瑞莫     [FRAC] 3, G1
omethoate                                                                       毆滅松     [IRAC] 1B
orthosulfamuron                                                                 登記中     [HRAC] B
oryzalin                                                                        毆拉靈     [HRAC] K1
oxadiazon                                                                       樂滅草     [HRAC] E
oxadixyl                                                                        毆殺斯     [FRAC] 4, A1
oxamyl                                                                          毆殺滅     [IRAC] 1A
oxine-copper                                                                    快得寧     [FRAC] M1
oxolinic acid                                                                   歐索林酸    [FRAC] 31, A4
oxycarboxin                                                                     嘉保信     [FRAC] 7, C2
oxydemeton-methyl                                                               滅多松     [IRAC] 1B
oxyfluorfen                                                                     復祿芬     [HRAC] E
oxytetracycline                                                                 土黴素     [FRAC] 41, D5
paraquat                                                                        巴拉刈     [HRAC] D
parathion                                                                       巴拉松     [IRAC] 1B
parathion-methyl                                                                甲基巴拉松   [IRAC] 1B
pefurazoate                                                                     披扶座     [FRAC] 3, G1
penconazole                                                                     平克座     [FRAC] 3, G1
pencycuron                                                                      賓克隆     [FRAC] 20, B4
pendimethalin                                                                   施得圃     [HRAC] K1
penoxsulam                                                                      平速爛     [HRAC] B
permethrin                                                                      百滅寧       [IRAC] 3A
petroleum oils                                                                  礦物油       [FRAC] NC
phenothrin                                                                      撲滅芬成分之一   [IRAC] 3A
phenthoate                                                                      賽達松       [IRAC] 1B
phorate                                                                         福瑞松       [IRAC] 1B
phosalone                                                                       裕必松       [IRAC] 1B
phosmet                                                                         益滅松       [IRAC] 1B
phosphamidon                                                                    福賜米松      [IRAC] 1B
phosphorous acid                                                                亞磷酸       [FRAC] 33, un02
phoxim                                                                          巴賽松       [IRAC] 1B
phthalide                                                                       熱必斯       [FRAC] 16.1, I1
picloram                                                                        畢克爛       [HRAC] O
picoxystrobin                                                                   登記中       [FRAC] 11, C3
piperophos                                                                      愛落殺成分之一   [HRAC] K3
pirimicarb                                                                      比加普       [IRAC] 1A
pirimiphos-methyl                                                               亞特松       [IRAC] 1B
polyoxins                                                                       保粒黴素甲     [FRAC] 19, H4
polyoxorim                                                                      保粒黴素丁     [FRAC] 19, H4
pretilachlor                                                                    普拉草       [HRAC] K3
probenazole                                                                     撲殺熱       [FRAC] P, P2
prochloraz                                                                      撲克拉       [FRAC] 3, G1
procymidone                                                                     撲滅寧       [FRAC] 2, E3
profenofos                                                                      佈飛松       [IRAC] 1B
prometryn                                                                       佈滅淨       [HRAC] C1
propachlor                                                                      雷蒙得       [HRAC] K3
propamocarb hydrochloride                                                       普拔克       [FRAC] 28, F4
propanil                                                                        除草靈       [HRAC] C2
propaquizafop                                                                   普拔草       [HRAC] A
propargite                                                                      毆蟎多       [IRAC] 12C
propazine                                                                       普拔根       [HRAC] C1
propiconazole                                                                   普克利       [FRAC] 3, G1
propineb                                                                        甲基鋅乃浦     [FRAC] M3
propoxur                                                                        安丹        [IRAC] 1A
proquinazid                                                                     登記中       [FRAC] 13, E1
prothiofos                                                                      普硫松       [IRAC] 1B
pymetrozine                                                                     派滅淨       [IRAC] 9B
pyraclofos                                                                      白克松       [IRAC] 1B
pyraclostrobin                                                                  百克敏       [FRAC] 11, C3
pyraflufen-ethyl                                                                乙基派芬草     [HRAC] E
pyrazophos                                                                      白粉松     [FRAC] 6, F2
pyrazosulfuron-ethyl                                                            百速隆     [HRAC] B
pyrazoxyfen                                                                     普芬草     [HRAC] F2
pyrethrins                                                                      除蟲菊精    [IRAC] 3A
pyridaben                                                                       畢達本     [IRAC] 21A
pyridaphenthion                                                                 必芬松     [IRAC] 1B
pyridate                                                                        必汰草     [HRAC] C3
pyrifenox                                                                       比芬諾     [FRAC] 3, G1
pyrimethanil                                                                    派美尼     [FRAC] 9, D1
pyrimidifen                                                                     畢汰芬     [IRAC] 21A
pyriproxyfen                                                                    百利普芬    [IRAC] 7C
pyroquilon                                                                      百快隆     [FRAC] 16.1, I1
quinalphos                                                                      拜裕松     [IRAC] 1B
quinclorac                                                                      快克草     [HRAC] L & O
quinoxyfen                                                                      快諾芬     [FRAC] 13, E1
quintozene                                                                      五氯硝苯    [FRAC] 14, F3
quizalofop-P-ethyl                                                              快伏草     [HRAC] A
rotenone                                                                        魚藤精     [IRAC] 21B
saflufenacil                                                                    殺芬草     [HRAC] E
sethoxydim                                                                      西殺草     [HRAC] A
silafluofen                                                                     矽護芬     [IRAC] 3A
simazine                                                                        草滅淨     [HRAC] C1
Smite                                                                           殺蟎多     [IRAC] 12C
spinetoram                                                                      賜諾特     [IRAC] 5
spinosad                                                                        賜諾殺     [IRAC] 5
spirodiclofen                                                                   賜派芬     [IRAC] 23
spirotetramat                                                                   賜派滅     [IRAC] 23
streptomycin sesquisulfate                                                      鏈黴素     [FRAC] 25, D4
TBA, 2,3,6-                                                                     替拔草     [HRAC] O
TCA-sodium                                                                      克乃達     [HRAC] N
tebuconazole                                                                    得克利     [FRAC] 3, G1
tebufenozide                                                                    得芬諾     [IRAC] 18
tebufenpyrad                                                                    得芬瑞     [IRAC] 21A
tebuthiuron                                                                     得匍隆     [HRAC] C2
tecloftalam                                                                     克枯爛     [FRAC] 34, un03
teflubenzuron                                                                   得福隆     [IRAC] 15
temephos                                                                        亞培松     [IRAC] 1B
tepraloxydim                                                                    得殺草     [HRAC] A
terbufos                                                                        托福松     [IRAC] 1B
tetrachlorvinphos                                                               樂本松     [IRAC] 1B
tetraconazole                                                                   四克利     [FRAC] 3, G1
tetracycline hydrochloride                                                      四環黴素    [FRAC] 41, D5
tetradifon                                                                      得脫蟎     [IRAC] 12D
tetramethrin, d-                                                                異治滅寧    [IRAC] 3A
thenylchlor                                                                     欣克草     [HRAC] K3
thiabendazole                                                                   腐絕      [FRAC] 1, B1
thiacloprid                                                                     賽果培     [IRAC] 4A
thiamethoxam                                                                    賽速安     [IRAC] 4A
thifluzamide                                                                    賽氟滅     [FRAC] 7, C2
thiobencarb                                                                     殺丹      [HRAC] N
thiocyclam hydrogen oxalate                                                     硫賜安     [IRAC] 14
thiodicarb                                                                      硫敵克     [IRAC] 1A
thiofanox                                                                       硫伐隆     [IRAC] 1A
thiometon                                                                       硫滅松     [IRAC] 1B
thiophanate                                                                     多保淨     [FRAC] 1, B1
thiophanate-methyl                                                              甲基多保淨   [FRAC] 1, B1
thiram                                                                          得恩地     [FRAC] M3
tolclofos-methyl                                                                脫克松     [FRAC] 14, F3
tolfenpyrad                                                                     脫芬瑞     [IRAC] 21A
tolyfluanid                                                                     甲基益發靈   [FRAC] M6
tralomethrin                                                                    泰滅寧     [IRAC] 3A
triadimefon                                                                     三泰芬     [FRAC] 3, G1
triadimenol                                                                     三泰隆     [FRAC] 3, G1
triazophos                                                                      三落松     [IRAC] 1B
tribasic copper sulfate                                                         三元硫酸銅   [FRAC] M1
trichlorfon                                                                     三氯松     [IRAC] 1B
triclopyr-butotyl                                                               三氯比     [HRAC] O
tricyclazole                                                                    三賽唑     [FRAC] 16.1, I1
tridemorph                                                                      三得芬     [FRAC] 5, G2
trifloxystrobin                                                                 三氟敏     [FRAC] 11, C3
triflumizole                                                                    賽福座     [FRAC] 3, G1
trifluralin                                                                     三福林     [HRAC] K1
triforine                                                                       賽福寧     [FRAC] 3, G1
validamycin A                                                                   維利黴素    [FRAC] 26, H3
valifenalate                                                                    登記中     [FRAC] 40, H5
vamidothion                                                                     繁米松     [IRAC] 1B
vernolate                                                                       萬隆      [HRAC] N
vinclozolin                                                                     免克寧     [FRAC] 2, E3
XMC                                                                             滅克蝨     [IRAC] 1A
xylylcarb                                                                       滅爾蝨     [IRAC] 1A
zineb                                                                           鋅乃浦     [FRAC] M3
zoxamide                                                                        座賽胺     [FRAC] 22, B3

